name,Average of FGA,Average of 3P%,Average of TRB,Average of BLK,Average of PTS
Britton Johnsen,40.5,0.0415,27.5,0.5,27
Brook Lopez,836.1818182,0.131,405.6363636,104.6363636,1083.272727
Bruce Bowen,464,0.397444444,234,31.33333333,520.4444444
Bruce Brown,177,0.235,97,17,179
Bruno Caboclo,17.75,0.32975,9,1.75,13.25
Bruno Sundov,36.8,0.14575,19,2.4,28.6
Bryant Reeves,552,0.25,452,54,622
Bryant Stith,399.5,0.3645,184.5,10,482
Bryce Cotton,39.5,0.175,9,0,44
Bryce Dejean-Jones,69,0.375,48,2,79
Bryce Drew,138.5,0.3445,40,1.25,135.75
Bryn Forbes,350.6666667,0.377,86.33333333,1.333333333,401
Bryon Russell,347.6666667,0.3686,192,11.5,413.3333333
Buddy Hield,799.6666667,0.422,264,15.33333333,943.3333333
Byron Mullens,273.2,0.307666667,158,19.6,279.6
C.J. Miles,486.5714286,0.336928571,140,17.28571429,561.5
C.J. Watson,361.7,0.3616,115.6,6.7,434.4
C.J. Wilcox,45,0.319666667,10.33333333,1.333333333,44
C.J. Williams,105.5,0.141,29,6.5,109.5
Cal Bowdler,144,0.2,93.5,18,151
Calbert Cheaney,349.6666667,0.08,164.8333333,10.83333333,360
Caleb Swanigan,49,0.1875,52,1.5,46
Calvin Booth,111.2222222,0.2,108.6666667,38.22222222,127.5555556
Cameron Bairstow,27,0.2,18,2,22
Cameron Payne,220,0.33,65.5,6.5,218.75
Caris LeVert,439.6666667,0.326333333,169.3333333,11.66666667,527.6666667
Carl Landry,433.1111111,0.208714286,281.4444444,22.55555556,615.6666667
Carldell Johnson,35,0.267,9,0,27
Carlos Arroyo,363.2222222,0.302222222,107.2222222,2.888888889,418.8888889
Carlos Boozer,863.1538462,0.023857143,630.1538462,26.61538462,1075.076923
Carlos Delfino,458.625,0.347125,226.875,11,514.375
Carlos Rogers,76.5,0.0835,88.5,12,119
Carmelo Anthony,1272.5625,0.334875,433.625,32.9375,1596.9375
Caron Butler,756.5714286,0.323285714,313.3571429,15.42857143,887.8571429
Carrick Felix,14,0.4,6,0,19
Cartier Martin,156.8571429,0.343,66.14285714,3.857142857,175.5714286
Casey Jacobsen,302.5,0.33175,129,6,372
Casper Ware,42,0.333,9,0,48
