name,Average of FGA,Average of 3P%,Average of TRB,Average of BLK,Average of PTS
Kevin Burleson,88,0.185,26,2,70
Kevin Durant,1275.166667,0.381166667,484.1666667,75.25,1843.833333
Kevin Edwards,170,0.263,82,8,160
Kevin Garnett,974.25,0.1948125,707,86.5,1223.4375
Kevin Huerter,334,0.391,133,17,378
Kevin Jones,107,,78,5,95
Kevin Knox,420,0.359,151,11,456
Kevin Love,793.4545455,0.329454545,655.6363636,27.18181818,1064.363636
Kevin Martin,733.0833333,0.366333333,189.8333333,6.5,1033
Kevin Murphy,28,0.2,4,0,15
Kevin Ollie,189.9,0.215888889,94.1,2.4,228.8
Kevin Seraphin,331.1428571,0,208.8571429,43.42857143,359.4285714
Kevin Willis,247.3333333,0.0334,206.5,18.66666667,266.1666667
Kevinn Pinkney,27,0.5,15,3,31
Kevon Looney,126.75,0.26175,150.25,26.75,175.25
Keyon Dooling,335.0769231,0.329153846,74.15384615,5.769230769,389.7692308
Khalid El-Amin,311,0.333,81,2,314
Khem Birch,80.5,0,113.5,15,114
Khris Middleton,742,0.386142857,257,12.14285714,920.8571429
Khyri Thomas,23,0.538,9,2,33
Kim English,112,0.28,37,3,119
Kirk Haston,28,0,13.5,3,16
Kirk Hinrich,655.5384615,0.375153846,198.1538462,18.69230769,738
Kirk Penney,4.5,0.1665,1,0,2.5
Kirk Snyder,279,0.29425,122.75,17.25,333.25
Klay Thompson,1156.375,0.4145,251.375,39.375,1409.875
Kobe Bryant,1431.4375,0.31575,374.5625,29.0625,1837.6875
Kobi Simmons,189,0.282,50,5,196
Kornel David,51,,52,4,62
Kosta Koufos,293.0909091,0,309.5454545,45.36363636,350.7272727
Kosta Perovic,10,,13,2,10
Kostas Papanikolaou,131.5,0.3025,79,9,124.5
Kris Dunn,396.6666667,0.314,156.3333333,23.33333333,407.6666667
Kris Humphries,345.0769231,0.1,331.8461538,34.92307692,411.5384615
Kris Joseph,14,0,7,0,9
Kristaps Porzingis,920,0.361666667,439,126,1104
Kurt Thomas,484.1538462,0.3667,459,56.69230769,546.9230769
Kwame Brown,257.3333333,0.083333333,277.75,31.33333333,336.25
Kyle Anderson,257.8,0.314,231.8,31.4,315.6
Kyle Collinsworth,99,0.235,107,9,101
Kyle Korver,546.3125,0.4323125,214.5625,24.25,705
Kyle Kuzma,850,0.331,370,26,1024
Kyle Lowry,695.3846154,0.346769231,268.3076923,17.38461538,915.8461538
Kyle O'Quinn,278.4285714,0.137,284.4285714,59.71428571,340.8571429
Kyle Singler,335.8333333,0.338,171,18.33333333,387.6666667
Kyle Weaver,101.3333333,0.380333333,52.66666667,11,121
Kyle Wiltjer,14,0.308,10,1,13
Kyrie Irving,1043.25,0.38625,212.375,20,1320
Kyrylo Fesenko,50.4,0,53.8,10.6,61
Lamar Odom,720.6923077,0.296461538,574.1538462,61.30769231,886.3076923
Lamar Patterson,47.5,0.206,28.5,1,46.5
LaMarcus Aldridge,1132.692308,0.199538462,585.5384615,74.46153846,1369.615385
Lamond Murray,523.4,0.3856,219.6,20,587.6
Lance Allred,4,,1,0,3
Lance Stephenson,417.3333333,0.259444444,226.6666667,7.777777778,463.1111111
Lance Thomas,204.75,0.296666667,117.25,6.5,235.375
Landry Fields,289.2,0.2584,218.4,9,346.2
Landry Shamet,289,0.385,67,7,364
Langston Galloway,458.4,0.3544,164.6,9.6,489.4
LaPhonso Ellis,452,0.292,312.6666667,42,506
Lari Ketner,0,,0,0,0
Laron Profit,118,0.240666667,61,7,130.6666667
Larry Drew II,41,0.2435,9,0,31.5
Larry Hughes,694.4545455,0.296181818,227.3636364,19.36363636,778.2727273
Larry Johnson,598,0.313,363,29,645
Larry Nance Jr.,332.75,0.2195,356.25,31.5,429
Larry Owens,21.5,0.431,14,3,26.5
Larry Robinson,94,0.4395,44.5,1,101
Larry Sanders,232.5,0,224.1666667,71.5,253.3333333
Latrell Sprewell,1198.4,0.3388,298.8,21.2,1310
Lauri Markkanen,582,0.3655,326,28.5,690
Lavor Postell,58.66666667,0.263333333,15,0.666666667,65
Lavoy Allen,293,0.051333333,307.1666667,35.66666667,307.8333333
Lawrence Funderburke,141.25,0,113,10.5,158.75
Lawrence Roberts,126,0,155,7.5,167
Lazar Hayward,67.33333333,0.189666667,30,2.666666667,69
Leandro Barbosa,529.2142857,0.371928571,122.8571429,8.642857143,645.3571429
LeBron James,1439.9375,0.3445625,543.625,57,1997.875
Lee Nailon,394.3333333,0.1,156,8.833333333,437
Leon Powe,190.4,0,182.2,16.4,296.8
Leon Smith,14,,16.5,0.5,16.5
Lester Hudson,63.25,0.3325,19.25,2,67
Linas Kleiza,416,0.306,210,10.42857143,508.7142857
Lindsey Hunter,254,0.2879,66.5,6.6,246.7
Linton Johnson,95.66666667,0.289833333,82.16666667,10.5,97
Lionel Chalmers,125,0.245,31,0,111
London Perrantes,13,0,4,1,7
Lonnie Walker,2,1,1,0,3
Lonny Baxter,132.5,0.1665,119.25,14.75,159.25
Lonzo Ball,498,0.3175,301,30.5,483.5
Loren Woods,82.66666667,0.08325,113.6666667,21.33333333,92.5
Lorenzen Wright,435.4444444,0,355.5555556,38.77777778,471.1111111
Lorenzo Brown,67.6,0.164,30.2,3,58.6
Lou Amundson,136.8,0,154.1,30.6,156.4
Lou Williams,681,0.339214286,138.2142857,11.71428571,893.9285714
Loy Vaught,169,,173,7,168
Luc Longley,54,,66,9,49
Luc Mbah a Moute,336.6363636,0.264454545,254.3636364,23.90909091,397.7272727
Lucas Nogueira,72,0.282,97,36,111.5
Lucious Harris,528.8,0.3532,197.6,7.6,588.8
Luis Flores,29,0.5,3,0,35
Luis Montero,10,0.111,3,0,7
Luis Scola,744.2,0.1525,494.1,22.4,888.2
Luka Doncic,637,0.373,281,11,848
Luke Babbitt,199.125,0.382625,105.75,7.25,227.25
Luke Harangody,135.5,0.24,98,10,126.5
Luke Jackson,58.75,0.41525,22.25,0.75,63
Luke Kennard,312,0.3935,121.5,9,366
Luke Kornet,117,0.3875,59,13.5,138.5
Luke Ridnour,566.9166667,0.343,156.4166667,13.41666667,645
Luke Schenscher,24.5,,27,3.5,27.5
Luke Walton,244.9,0.3236,158.8,10.2,264.9
Luke Zeller,26,0.2,10,0,19
Luol Deng,743.6,0.309857143,360.4666667,29.13333333,881.4
Luther Head,404.3333333,0.377666667,140.8333333,7.166666667,473.6666667
Lynn Greer,141,0.346,27,1,167
Maalik Wayns,45,0.226,4.5,0,39
Maceo Baston,43,0.2145,43.75,10.75,71.5
Maciej Lampe,77,0.25,47.33333333,3.333333333,71.66666667
Mahmoud Abdul-Rauf,246,0.286,25,1,266
Malachi Richardson,61.66666667,0.296666667,23.33333333,0.666666667,65
Malcolm Brogdon,533,0.405,184,11.33333333,672.6666667
Malcolm Delaney,336.5,0.3035,111.5,3.5,364.5
Malcolm Lee,45.33333333,0.2665,21.66666667,3.333333333,46.66666667
Malcolm Miller,28,0.381,15,2,38
Malcolm Thomas,17.25,0.125,24,1.75,19
Malik Allen,236.5,0.238142857,135.3,22,233.4
Malik Beasley,202,0.358666667,64.33333333,4.333333333,238.6666667
Malik Hairston,62.5,0.091,38.5,8,74.5
Malik Monk,395.5,0.337,66,9.5,419
Malik Rose,361.5555556,0.255,288.8888889,21.66666667,433.8888889
Mamadou N'Diaye,39.8,0,45,12.8,52.4
Mangok Mathiang,7,,10,0,8
Manny Harris,131,0.26325,63.25,3.5,143.75
Manu Ginobili,641.375,0.3681875,231.0625,19.9375,877.6875
Marc Gasol,803.2727273,0.245181818,532.1818182,102.9090909,1046.727273
Marc Jackson,382.8571429,0.245285714,236.4285714,14.57142857,462.5714286
Marcelo Huertas,149,0.2365,57,4.5,150
Marcin Gortat,510.9166667,0.25,529.4166667,73.5,659
Marco Belinelli,527,0.379,130.6666667,5.166666667,635.8333333
Marcus Banks,214.375,0.290428571,64.875,7.125,257.625
Marcus Camby,447.6923077,0.154333333,610.6923077,137,510.1538462
Marcus Cousin,3,,3,1,4
Marcus Derrickson,15,0.286,4,1,17
Marcus Fizer,422.6666667,0.285333333,223.3333333,13.5,463.6666667
Marcus Georges-Hunt,27.5,0.3835,12.5,0,36.5
Marcus Haislip,71.5,0.3375,32.75,8.5,77.75
Marcus Landry,43,0.321,19,2,44
Marcus Morris,623.125,0.341875,286.25,15.875,730.75
Marcus Paige,14,0.25,4,0,12
Marcus Smart,506.6,0.3052,217.8,21.6,558.2
Marcus Thornton,625.375,0.3585,168.5,7.625,718.75
Marcus Vinicius,17.5,0.423,9.5,1,25
Marcus Williams,188.1666667,0.32275,62.16666667,1.333333333,190.3333333
Mardy Collins,194.5,0.29525,84,5.5,185.5
Mario Chalmers,515.6666667,0.345111111,176.1111111,11.44444444,638.1111111
Mario Elie,246,0.36,155,12,299
Mario Hezonja,409,0.318,182,17,450.25
Mario Kasun,83.5,0,94,8,99
Mario West,31.25,0.3125,35.5,2,38.5
Mark Blount,445.6666667,0.27075,309.3333333,56.44444444,549
Mark Bryant,31.33333333,,28.33333333,1.666666667,29.33333333
Mark Jackson,411,0.2995,215,3,450.5
Mark Jones,31,0,13,2,23
Mark Madsen,92.66666667,0.25,128.5555556,11.33333333,108.3333333
Mark Pope,60.25,0.184,57.75,9.75,61
Mark Strickland,149.3333333,0.375,99.66666667,13,154.6666667
Markel Brown,179.6666667,0.26,78,9,194.6666667
Markelle Fultz,133,0.143,56.5,4.5,127.5
Markieff Morris,707,0.335125,386.75,41.25,821.25
Marko Jaric,420.5714286,0.351714286,171.4285714,18.28571429,456.1428571
Marquese Chriss,379.3333333,0.231,255.3333333,47.66666667,444.6666667
Marquis Daniels,393.3,0.2095,155.2,13.7,431.9
Marquis Teague,82.66666667,0.234,30,4,72.33333333
Marreese Speights,475,0.2464,287.5,35.6,559.2
Marshall Plumlee,16.5,,34,2.5,27
MarShon Brooks,274.2,0.3956,84.8,8.4,318.4
Martell Webster,406.2,0.3285,181.1,16,505.6
Martynas Andriuskevicius,1,,4,0,0
Marvin Bagley III,270,0.323,192,29,372
Marvin Williams,593.2857143,0.325642857,370.6428571,36.92857143,733.9285714
Mason Plumlee,420.5,0.041666667,451.5,69.16666667,612.1666667
Mateen Cleaves,99.83333333,0.299,29.16666667,0.833333333,101.5
Matt Barnes,456.2857143,0.303785714,305.7857143,31.71428571,542.0714286
Matt Bonner,314,0.41225,197.5833333,17.75,386
Matt Bullard,210,0.3425,88.5,5.5,229.5
Matt Carroll,249.6,0.324333333,86.3,6,301.3
Matt Costello,4,,9,2,4
Matt Freije,90.5,0.1975,42.5,1.5,66.5
Matt Geiger,116,0,72.5,5,108
Matt Harpring,632.8888889,0.256666667,348.8888889,11.66666667,802.3333333
Matt Maloney,186.5,0.346,62,2.5,196.5
Matt Walsh,1,,0,0,2
Matt Williams,6,0.2,1,0,5
Matthew Dellavedova,319,0.393166667,109.1666667,2.666666667,352.6666667
Maurice Ager,47.25,0.31025,11.5,1.5,42.25
Maurice Baker,1,,2,0,0
Maurice Carter,35,0.364,11,0,42
Maurice Evans,359,0.320888889,153.7777778,9.777777778,416.3333333
Maurice Harkless,382.2857143,0.314428571,227.8571429,42,454.8571429
Maurice Ndour,86,0.143,64,8,98
Maurice Taylor,493.3333333,0.0666,252.3333333,23.66666667,540.1666667
Maxi Kleber,251,0.314,192.5,47,313.5
Mehmet Okur,661.5,0.3561,443.6,45.3,856.1
Melvin Ely,189.1111111,0,135,23.22222222,221.3333333
Melvin Frazier,3,0,1,0,0
Melvin Sanders,33,0.667,23,0,41
Mengke Bateer,52,0.333,38,1.666666667,52
Metta World Peace,656.6875,0.3323125,258.75,30.1875,762
Meyers Leonard,239.7142857,0.346571429,201.5714286,16,295.5714286
Michael Beasley,598.1818182,0.341636364,257.2727273,28.09090909,682.2727273
Michael Bradley,91.4,0.09175,118.2,9.4,96.6
Michael Carter-Williams,520.6666667,0.2685,228.3333333,27.66666667,560.1666667
Michael Curry,209.8,0.30225,106,5.2,231
Michael Dickerson,364,0.373,82.33333333,9.666666667,404.6666667
Michael Doleac,254.5,0,184.125,19.75,251.625
Michael Finley,903.1,0.3796,283.9,19.1,1019.7
Michael Gbinije,10,0,3,0,4
Michael Hawkins,9,0.5,5,0,8
Michael Jordan,1425.5,0.24,418,32.5,1507.5
Michael Kidd-Gilchrist,415.2857143,0.208,325.7142857,41.71428571,505.5714286
Michael Olowokandi,422,,343,71.71428571,421.5714286
Michael Redd,783.75,0.32875,200.9166667,5.5,997.6666667
Michael Ruffin,62,0,172.75,20.875,69.625
Michael Smith,218,0,562,37,301
Michael Stewart,25.4,,35.6,7.2,25.8
Mickael Gelabale,186.6666667,0.324666667,110,11.66666667,223.3333333
Mickael Pietrus,382.1,0.349,172.3,23,462.9
Mickell Gladness,59,,58,20,56
Mikal Bridges,287,0.35,130,23,336
Mike Batiste,467,0.222,257,16,481
Mike Bibby,898,0.380666667,221.75,10.75,1070.5
Mike Conley,753.0833333,0.367833333,185.8333333,13,924.6666667
Mike Dunleavy,595.0666667,0.3738,280.7333333,21.6,736.5333333
Mike Hall,4,,2,0,2
Mike Harris,37.75,0,29,3,45.75
Mike James,419.4615385,0.363769231,108.7692308,3.461538462,476.8461538
Mike Miller,514.5294118,0.402705882,257.4117647,13.47058824,645.4705882
Mike Muscala,208.5,0.307166667,153,24.5,265.3333333
Mike Penberthy,112,0.396,32.5,1,136
Mike Scott,338.8571429,0.279142857,175.4285714,7.142857143,406.2857143
Mike Smith,59,0.167,22,3,51
Mike Sweetney,291,0,261.25,26.75,379
Mike Taylor,267,0.325,87,0,289
Mike Tobey,4,,3,0,2
Mike Wilks,77.14285714,0.390285714,32.57142857,1.428571429,84.42857143
Mikki Moore,196.6363636,0.116666667,189.3636364,25,275
Mile Ilic,3,,1,0,0
Miles Bridges,231,0.296,151,26,265
Miles Plumlee,197.2857143,,223.1428571,36.57142857,242.4285714
Milos Teodosic,200,0.3745,71,3,238.5
Milt Palacio,327,0.208333333,130,9.666666667,355.8333333
Milton Doyle,47,0.174,18,2,34
Mindaugas Kuzminskas,185.5,0.321,63,5.5,212.5
Miroslav Raduljica,67,,56.5,6.5,94.5
Mirza Teletovic,380.8333333,0.375833333,173.6666667,13.66666667,439.3333333
Mitch McGary,94,0,91.5,9,113.5
Mitch Richmond,375.5,0.314,101.5,6.5,429
Mitchell Butler,73.5,0.35,42.5,2.5,81.5
Mitchell Robinson,89,,109,51,131
Mo Williams,717.3846154,0.362846154,174.1538462,9.307692308,827.6153846
Mohamed Bamba,212,0.281,194,54,245
Monta Ellis,1057.333333,0.3075,239.5,23.41666667,1238.166667
Monte Morris,188,0.2145,56,1,217
Montrezl Harrell,353,0.1215,221,41.75,548.25
Monty Williams,268.6666667,0.025666667,174.3333333,12.66666667,328.6666667
Moochie Norris,302,0.2375,128,3,335.8333333
Mookie Blaylock,473.5,0.3405,162,12,439.5
Moritz Wagner,43,0.35,22,1,45
Morris Almond,37.66666667,0.292333333,15.33333333,1.333333333,39.66666667
Morris Peterson,597,0.339818182,225.7272727,12.36363636,693.4545455
Mouhamed Sene,27.33333333,,25,7.333333333,34.33333333
Muggsy Bogues,2,0,3,0,0
Mustafa Shakur,31,0.05,11,1.5,26
Mychel Thompson,24,0.364,5,1,18
Myke Henry,109,0.328,38,6,107
Myles Turner,609,0.32575,401.5,120.25,779
Nando De Colo,197,0.359,105.5,6,226.5
Nate Huffman,25,,23,3,23
Nate Robinson,528.2727273,0.325727273,131.4545455,3.818181818,618.8181818
Nate Wolters,150.6666667,0.145,61.66666667,5.666666667,153.6666667
Nathan Jawai,57.5,0,53,4.5,63
Naz Mitrou-Long,2.5,0.6665,0,0,4
Nazr Mohammed,302.6875,0,288.8125,38.9375,358.1875
Ndudi Ebi,17.5,0,9.5,2.5,20
Nemanja Bjelica,329,0.385,248,23.5,406.25
Nemanja Nedovic,39,0.167,15,1,26
Nenad Krstic,499,0.09,323,40.85714286,601.4285714
Nene,444.5882353,0.0708125,339.0588235,41.82352941,636.8235294
Nerlens Noel,358.2,0.166666667,358.6,74,452.8
Nick Anderson,66.5,0.2635,29,5,49
Nick Calathes,279,0.2835,121.5,6.5,295
Nick Collison,296.1428571,0.062666667,335.7857143,33.5,382.7857143
Nick Fazekas,82,0,89,11,107
Nick Johnson,75,0.238,39,3,74
Nick Van Exel,758.6666667,0.358,176.5,6.333333333,820.6666667
Nick Young,576.6666667,0.374333333,118.9166667,11.25,682.8333333
Nicolas Batum,648.6363636,0.362636364,351.8181818,42.54545455,792.9090909
Nicolas Brussino,71.5,0.1525,49,4,75
Nicolas Laprovittola,47,0.37,10,1,59
Nigel Hayes,33,0.25,22,3,27
Nik Stauskas,370,0.3526,128,15.4,427
Nikola Jokic,773.5,0.34375,628.5,49.25,1062
Nikola Mirotic,579.6,0.3544,359.6,42.6,734.6
Nikola Pekovic,422.8333333,,301.1666667,25.16666667,567.5
Nikola Vucevic,833.5,0.275857143,622.125,58.25,948.875
Nikoloz Tskitishvili,156.5,0.24175,76.75,12.5,126.75
Noah Vonleh,226.4,0.3376,290.6,23.8,265.2
Noel Felix,25,0.333,13,3,18
Nolan Smith,147,0.2515,41.5,2,138.5
Norm Richardson,26,0.5,8,0,30
Norman Powell,311.25,0.3365,111.5,11.5,365.25
Norris Cole,411.5,0.307666667,117,5.666666667,417.6666667
O.J. Mayo,818.375,0.36875,213.25,17.625,946.75
Obinna Ekezie,100.6666667,0,97,7.666666667,128.3333333
OG Anunoby,305,0.3545,151,12,366
Ognjen Kuzmic,12.5,,19,2.5,17.5
Okaro White,35,0.239,31.66666667,3.666666667,39.33333333
Olden Polynice,207.5,0,190,38.5,214.5
Oleksiy Pecherov,138,0.292666667,88.66666667,7.333333333,146
Oliver Lafayette,6,0.5,4,0,7
Oliver Miller,100,0,130,26,121
Olumide Oyedeji,33.66666667,,65.33333333,5,42.33333333
Omar Cook,25.5,0,6.5,0.5,18.5
Omari Johnson,21,0.333,11,0,22
Omari Spellman,145,0.347,109,19,166
Omer Asik,224.375,0,420.25,42.375,309.875
Omri Casspi,373.6,0.37,233.4,13.2,458.3
Orien Greene,82,0.135666667,48.75,3.75,81.5
Orlando Johnson,109,0.258,60,4.666666667,109.6666667
Oscar Torres,188.5,0.416,67,5.5,221
Othella Harrington,299.625,0,239.5,19.25,389.125
Othello Hunter,16,,18,3,16.5
Othyus Jeffers,33.33333333,0.125,31.66666667,0,46.33333333
Otis Thorpe,131,,145,7,138
Otto Porter,535.8333333,0.360166667,308.8333333,27.5,667.8333333
P.J. Brown,525.125,0,577.25,60.375,631.375
P.J. Hairston,338.5,0.2955,133,12,332
P.J. Tucker,433.625,0.356,388.5,18.25,505.625
Pablo Prigioni,196.5,0.3745,126.25,1.5,236.5
Pape Sow,63.33333333,,71.33333333,8,73
Pape Sy,6,0,3,0,7
Pascal Siakam,386.3333333,0.231,284.3333333,39.33333333,496
Pat Burke,162.6666667,0.234,88.66666667,13.33333333,156
Pat Connaughton,166.75,0.34625,86.75,9.75,186.25
Pat Garrity,348.5,0.362428571,146.5,10.25,390.625
Patricio Garino,7,0,7,0,0
Patrick Beverley,385.5714286,0.376714286,199.7142857,20.28571429,446.8571429
Patrick Christopher,12,0,6,0,6
Patrick Ewing,340.6666667,0,283.3333333,45.66666667,384.3333333
Patrick McCaw,159.6666667,0.273666667,61.66666667,8.333333333,172
Patrick O'Bryant,40,0,31.75,10,46.5
Patrick Patterson,415.4444444,0.285333333,281.8888889,31.44444444,471.2222222
Patty Mills,397.7,0.4015,93.7,4.5,470.5
Pau Gasol,871.3888889,0.302666667,624.7222222,107.6666667,1158.111111
Paul Davis,54.75,0,39.5,3.75,54.25
Paul George,957.4444444,0.374,400.2222222,28.33333333,1215.777778
Paul Grant,23,,17,1,25
Paul McPherson,216,0.167,79,4,262
Paul Millsap,759.3076923,0.263923077,517.8461538,72.61538462,990.9230769
Paul Pierce,1042.294118,0.367,401.2941176,37.23529412,1422.294118
Paul Shirley,12.66666667,0,6.333333333,0.333333333,11
Paul Zipser,227.5,0.3345,128,15.5,229
Pavel Podkolzin,1,,4.5,0.5,2
Peja Stojakovic,875.3636364,0.404727273,305.7272727,8.363636364,1124.363636
Pepe Sanchez,16.5,0,10.5,0.5,10
Pero Antic,295,0.314,199,13,354
Perry Jones,154.6666667,0.198,84,11,162.6666667
Pervis Ellison,7,,12,2,6
Peter John Ramos,10,,4,1,11
Peyton Siva,57,0.28,14,1,54
Phil Pressey,168.3333333,0.244,72,5,155.6666667
Pierre Jackson,39,0.273,9,0,35
PJ Dozier,4,0.5,2.5,0,4.5
Popeye Jones,181.25,0.2655,214.5,7,192.25
Pops Mensah-Bonsu,39,0,45,3.5,45.25
Predrag Drobnjak,531.25,0.25275,243.25,29.25,546.75
Predrag Savovic,93,0.154,25,1,83
Primoz Brezec,254.25,0.111,165.875,16.75,306.5
Quentin Richardson,566.1538462,0.339615385,282,11.38461538,617.8461538
Quincy Acy,185.7142857,0.316428571,165,18.71428571,232.2857143
Quincy Douby,190.3333333,0.296,50.66666667,7,196
Quincy Lewis,95.33333333,0.309,32.33333333,7,94.66666667
Quincy Miller,102,0.162,56.33333333,12.33333333,98.33333333
Quincy Pondexter,189.7142857,0.320857143,89.71428571,7,225.1428571
Quinn Cook,189,0.430666667,59.33333333,1.333333333,230.6666667
Quinton Ross,260.5714286,0.206285714,135.2857143,18.42857143,266.1428571
Qyntel Woods,155.25,0.348333333,96.25,7,172.75
R.J. Hunter,39.66666667,0.172,14.33333333,1.333333333,38.66666667
Raef LaFrentz,471.625,0.275375,336.375,90.25,564.75
Rafael Araujo,128.3333333,0.1665,131.6666667,5.333333333,129.6666667
Rafer Alston,629.6,0.3491,186.8,10.5,673.9
Raja Bell,495.75,0.388166667,164,10.83333333,583.1666667
Rajon Rondo,575.0769231,0.287769231,292.9230769,8.153846154,635.4615385
Rakeem Christmas,22.5,,28.5,3,31.5
Ramon Sessions,503.5454545,0.290272727,167.2727273,4.727272727,649.1818182
Randolph Morris,30.5,,26,1.75,35
Randy Brown,93.66666667,0,41.66666667,4.333333333,88
Randy Foye,613.6363636,0.361454545,153.2727273,20,702.6363636
Randy Holcomb,1,,1,0,2
Randy Livingston,18.14285714,0.1875,7.142857143,0.571428571,17
Rashad McCants,536,0.34475,126.5,15.25,619.75
Rashad Vaughn,159.3333333,0.330666667,52.66666667,9.666666667,141
Rashard Lewis,847.2142857,0.374857143,362.2857143,36,1061.285714
Rasheed Wallace,898.8181818,0.337090909,490.6363636,99.81818182,1030.545455
Rasho Nesterovic,467.6,0.047571429,375.6,84.9,504
Rasual Butler,437.3846154,0.358230769,148.7692308,31.38461538,468.6153846
Ratko Varda,3,,1,0,5
Raul Lopez,326,0.369,97,2.5,366.5
Raul Neto,182.5,0.36375,57,2.75,213.25
Rawle Alkins,4,1,3,0,3
Rawle Marshall,74.5,0.2775,30,6,85
Ray Allen,1046.285714,0.404071429,283.5714286,14,1366.857143
Ray McCallum,305.3333333,0.345333333,102,9,306.6666667
Ray Spalding,0,,0,0,0
Raymond Felton,707.1428571,0.315785714,203.8571429,14.64285714,770.0714286
Reece Gaines,49.33333333,0.195333333,17.66666667,1,41
Reggie Bullock,216.6666667,0.378166667,79.5,4.333333333,260
Reggie Evans,183,0.142857143,443.4615385,8.846153846,253
Reggie Hearn,2,0.5,0,0,3
Reggie Jackson,677.25,0.303875,183.25,7.25,773.625
Reggie Miller,807.8,0.37,204,9,1097.4
Reggie Slater,80,,75.33333333,3.666666667,118.6666667
Reggie Williams,187.5714286,0.334571429,70.42857143,1.857142857,228.2857143
Renaldo Balkman,120.1666667,0.212666667,128.1666667,17.33333333,149
Renaldo Major,10,,2,0,5
Richard Hamilton,975.6153846,0.342923077,209.4615385,9.615384615,1159.153846
Richard Jefferson,653.0588235,0.349588235,277.6470588,20.41176471,876.7058824
Richaun Holmes,271.5,0.220666667,213,43.25,378
Richie Frahm,108.25,0.34175,41,2.5,125.5
Rick Brunson,136.3333333,0.431166667,59,2.833333333,140
Rick Fox,514.5,0.33175,284.75,17,574
Ricky Davis,802.3,0.4187,238.3,17.2,947.6
Ricky Ledo,56.5,0.3725,19,0.5,54.5
Ricky Rubio,538.5,0.3175,248.875,8.125,646.625
Rob Kurz,131,0.395,81,19,157
Robbie Hummel,174.5,0.337,133,5.5,189.5
Robert Archibald,26.5,,34.5,3,25.5
Robert Covington,568.6666667,0.361833333,300.3333333,43.16666667,692.5
Robert Hite,60,0.217,16,2,51
Robert Horry,337.625,0.339875,301.125,53,377.875
Robert Pack,168.75,0.212333333,57.25,0.5,183.75
Robert Sacre,182.25,0,148.25,27.5,196.75
Robert Swift,85,,94,21.5,104
Robert Traylor,290.2,0.3466,268.6,47.4,333.8
Robert Whaley,57,,43,8,49
Robert Williams,35,,55,29,58
Robin Lopez,464.3636364,0.081714286,349.9090909,79.90909091,585.4545455
Rod Strickland,363.4,0.2824,129.8,7,404.4
Rodions Kurucs,196,0.355,101,9,261
Rodney Buford,344.75,0.24475,137.5,5.75,331.25
Rodney Carney,319.8,0.353,117.6,20,355.6
Rodney Hood,627,0.3706,168.2,11,734.6
Rodney McGruder,295.6666667,0.380333333,150.3333333,9.666666667,327.6666667
Rodney Purvis,107,0.25,27,3,96
Rodney Rogers,608.4,0.3236,304.6,30.8,675.2
Rodney Stuckey,687,0.284,191.2,9.4,818.5
Rodney White,363.75,0.31,121.25,16.25,385
Rodrigue Beaubois,285.75,0.3225,84.5,13,321.5
Roger Mason,293.3,0.3658,89.7,7.5,328.9
Roger Powell,3,0,3,0,2
Roko Ukic,177,0.2135,39,1,170.5
Ron Baker,98.66666667,0.225666667,46.33333333,5,100
Ron Harper,271,0.264,166,25,307
Ron Mercer,574.2,0.2136,131.4,12.2,565
Ronald Dupree,85,0.236,56.5,4.833333333,92.5
Ronald Murray,545,0.26075,125.75,12.5,602.125
Rondae Hollis-Jefferson,427,0.24825,315.25,31.5,531.25
Ronnie Brewer,396.125,0.20775,178.375,15,492.5
Ronnie Price,165,0.278833333,54.83333333,4.666666667,167.9166667
Ronny Turiaf,160.7,0,175.7,59.3,220.9
Roshown McLeod,332,0.091,120,8,337
Roy Hibbert,626.7777778,0.164285714,463.6666667,127.3333333,734.5555556
Royal Ivey,153.1,0.3313,55.7,3.8,164.1
Royce O'Neale,222.5,0.3765,187,13,267
Royce White,1,,0,0,0
Ruben Boumtje-Boumtje,12.66666667,,19,5.666666667,14.33333333
Ruben Garces,22,,29,2,16
Ruben Patterson,558.5,0.11725,279.125,25.75,743.25
Ruben Wolkowyski,41.5,0,23.5,9,40
Rudy Fernandez,463.25,0.354,152,10,563.5
Rudy Gay,962.0769231,0.350230769,382.5384615,51.92307692,1153.076923
Rudy Gobert,384.1666667,0,635.1666667,133,650.6666667
Russ Smith,23.5,0.191,7.5,0.5,26.5
Russell Westbrook,1314.454545,0.295272727,483.7272727,20.72727273,1628.272727
Rusty LaRue,94,0.67,26,3.5,98.5
Ryan Anderson,592.4545455,0.364818182,308.8181818,19.72727273,726.2727273
Ryan Arcidiacono,126,0.34,65.5,1,162.5
Ryan Bowen,119.4444444,0.228166667,105.1111111,13.88888889,132
Ryan Broekhoff,35,0.333,15,2,43
Ryan Gomes,531.125,0.283375,279.875,9.75,615.75
Ryan Hollins,117.7,0,114,27.1,191.3
Ryan Humphrey,75.66666667,0,63,6.333333333,65.66666667
Ryan Kelly,214.25,0.30225,126,21,245.25
Ryan Reid,5,,2,0,8
Salah Mejri,93.5,0.08325,176.25,41.25,145.75
Salim Stoudamire,365.6666667,0.360666667,71.33333333,3.333333333,420
Sam Cassell,964.625,0.330125,245.25,11.375,1181.875
Sam Dekker,209,0.273666667,136.25,8.5,246
Sam Jacobson,18,,6,0,20
Sam Mack,49,0.25,14,1,40
Sam Mitchell,258,0.2475,102.5,7,264.5
