Birth City,Number of Games,Total Points,Three Points,Field Goals,Total Rebounds
Broaddus,687,11.6,0.21,0.465,1803.0
Bronx,5958,6.5473684210526315,0.2273888888888889,0.42047368421052633,1244.842105263158
Brookhaven,2,1.5,,0.33299999999999996,1.0
Brookline,153,4.6,0.0,0.474,659.0
Brooklyn,15813,8.031578947368422,0.22803125000000002,0.42426315789473695,1872.2894736842106
Brownsville,20,0.6,0.0,0.37799999999999995,53.0
Brunswick,9,2.7,,0.556,8.0
Buffalo,3017,7.733333333333334,0.242,0.4405555555555555,1995.7777777777778
Burlington,83,1.0,0.222,0.42700000000000005,550.0
Burnsville,282,3.1,,0.534,1057.0
Butler,275,4.3,0.0,0.433,815.0
Cairo,255,9.5,0.316,0.40399999999999997,941.0
Camden,1050,6.76,0.28280000000000005,0.40780000000000005,1135.8
Campbellsville,134,2.7,,0.43700000000000006,438.0
Canal Winchester,189,7.4,0.319,0.408,790.0
Canton,3267,6.0,0.207125,0.43474999999999997,1351.5
Cape Coral,6,1.5,0.0,0.5,9.0
Capitol Heights,5,0.0,,0.0,0.0
Carbondale,525,6.15,0.241,0.367,442.5
Carlisle,604,6.6,0.29100000000000004,0.38350000000000006,2010.0
Carrollton,58,2.1,0.382,0.369,44.0
Carthage,869,12.9,0.0,0.446,4778.0
Casselberry,476,6.05,0.33299999999999996,0.4565,992.0
Cedar Rapids,784,4.5,0.226,0.47,3856.0
Centreville,212,6.1,0.37799999999999995,0.414,318.0
Cerritos,9,5.3,0.33299999999999996,0.429,9.0
Chanute,1,2.0,,1.0,3.0
Chapel Hill,238,5.4,0.31,0.469,345.0
Charleston,1851,4.85,0.26325,0.44075,1458.0
Charlestown,361,9.8,0.75,0.436,2286.0
Charlotte,2655,5.75,0.22771428571428573,0.4361,925.9
Chattanooga,289,4.666666666666667,0.13133333333333333,0.39733333333333337,327.0
Cherry Hill,1001,14.7,0.379,0.436,3103.0
Cherry Valley,143,6.7,0.282,0.41700000000000004,290.0
Chesapeake,1146,7.4750000000000005,0.17225000000000001,0.4575,2003.0
Chester,436,15.7,0.287,0.446,2127.0
Chesterton,52,4.4,0.0,0.527,183.0
Chestertown,122,3.4,0.317,0.415,131.0
Cheverly,834,8.75,0.1685,0.47700000000000004,1792.0
Cheyenne,423,7.8,0.27699999999999997,0.478,1374.0
Chicago,30601,6.509890109890107,0.2485189873417721,0.43401098901098906,1341.7472527472528
Christopher,415,17.9,0.0,0.501,1339.0
Cincinnati,3494,5.372727272727273,0.16829999999999998,0.4254545454545454,1820.1818181818182
