Player Name,Years Played,Birth City,Birth State,Birth Country,Playing City,Seasons Played,Games Played,Minutes Played,Field Goals %,3 Points %,Total Rebounds,Total Points
Loren Woods,6,St. Louis,Missouri,USA,Houston,6,215,2428,0.419,0.143,682,2.6
Brad Holland,3,Billings,Montana,USA,Washington,2,93,686,0.403,0.19,59,3.2
Phil Jackson,12,Deer Lodge,Montana,USA,New Jersey,11,807,14201,0.453,0,3454,6.7
Coby Karl,2,Great Falls,Montana, ,Denver,2,24,184,0.345,0.25,32,2.4
Larry Krystkowiak,9,Missoula,Montana,USA,,8,420,9097,0.457,0.139,2051,8.2
Adam Morrison,3,Glendive,Montana,USA,Los Angeles,3,161,3278,0.373,0.331,342,7.5
Keith Tower,4,Libby,Montana,USA,,3,53,416,0.429,0,69,1.8
Mike Higgins,2,Grand Island,Nebraska,USA,Sacramento,1,18,111,0.5,,9,1.7
Fred Hoiberg,10,Lincoln,Nebraska,USA,Minnesota,10,541,9978,0.431,0.396,1438,5.4
Dave Hoppen,6,Omaha,Nebraska,USA,New Jersey,5,169,2401,0.518,0.2,647,5
Rich King,4,Lincoln,Nebraska,USA,Seattle,3,72,309,0.393,0,74,1.9
Bart Kofoed,5,Omaha,Nebraska,USA,Boston,4,111,702,0.387,0.188,56,1.5
Mark Pope,6,Omaha,Nebraska,USA,Denver,6,153,1634,0.401,0.179,261,1.9
Alex Stivrins,2,Lincoln,Nebraska,USA,Phoenix,1,22,90,0.465,0,22,2
Rex Walters,7,Omaha,Nebraska,USA,,6,335,4602,0.441,0.361,403,4.6
Greg Anthony,11,Las Vegas,Nevada,USA,Milwaukee,10,757,15850,0.403,0.349,1417,7.3
Marcus Banks,8,Las Vegas,Nevada,USA,New Orleans,8,348,5571,0.432,0.327,519,5.9
Ricky Davis,12,Las Vegas,Nevada,USA,,11,736,21927,0.446,0.361,2550,13.5
Pat Garrity,10,Las Vegas,Nevada,USA,Orlando,10,552,11062,0.417,0.398,1457,7.3
Darington Hobson,1,Las Vegas,Nevada,USA,,0,5,39,0.154,0,3,0.8
Willie Smith,4,Las Vegas,Nevada,USA,Cleveland,3,78,1200,0.4,0.239,134,4.6
Matt Bonner,12,Concord,New Hampshire,USA,San Antonio,12,792,13356,0.464,0.414,2371,5.8
Rafael Addison,6,Jersey City,New Jersey,USA,Charlotte,5,379,5697,0.449,0.282,780,5.8
Malik Allen,10,Willingboro,New Jersey,USA,Orlando,10,478,7262,0.439,0.188,1353,4.9
Mike Bibby,14,Cherry Hill,New Jersey,USA,New York,14,1001,33962,0.436,0.379,3103,14.7
Alex Blackwell,1,Toms River,New Jersey,USA,Los Angeles,0,27,109,0.333,0,23,1.3
Ira Bowman,3,Newark,New Jersey,USA,,2,17,68,0.636,0,5,0.9
Marques Bragg,1,East Orange,New Jersey,USA,Minnesota,0,53,369,0.45,,79,2.5
Mike Brown,11,Newark,New Jersey,USA,Phoenix,10,626,10961,0.455,0.125,2762,5
Mark Bryant,15,Glen Ridge,New Jersey,USA,Philadelphia,15,797,13479,0.5,0.083,2992,5.4
Andrew Bynum,8,Plainsboro,New Jersey,USA,Indiana,7,418,10690,0.556,0.111,3221,11.5
Tony Campbell,11,Teaneck,New Jersey,USA,Cleveland,10,690,15180,0.456,0.254,2117,11.6
Derrick Caracter,1,Fanwood,New Jersey,USA,Los Angeles,1,41,215,0.485,,43,2
Earl Clark,6,Plainfield,New Jersey,USA,Brooklyn,5,261,3630,0.403,0.328,778,4.4
Chris Copeland,4,Orange,New Jersey,USA,,4,171,2111,0.427,0.365,272,5.8
Hollis Copeland,2,Trenton,New Jersey,USA,New York,1,93,1260,0.488,0,161,5
Joe Crispin,1,Pitman,New Jersey,USA,Phoenix,1,21,156,0.382,0.385,11,3.8
John Crotty,11,Orange,New Jersey,USA,,10,477,5795,0.431,0.384,502,4
Brian Davis,1,Atlantic City,New Jersey,USA,Minnesota,0,68,374,0.317,0.333,55,1.9
Chris Ford,10,Atlantic City,New Jersey,USA,Boston,9,794,22043,0.46,0.375,2394,9.2
Gary Garland,1,East Orange,New Jersey,USA,Denver,0,78,1106,0.435,0.316,138,4.3
Chris Gatling,11,Elizabeth,New Jersey,USA,,10,700,13760,0.513,0.249,3741,10.3
Reggie Geary,2,Trenton,New Jersey,,San Antonio,1,101,931,0.344,0.328,82,2.1
Tate George,4,Newark,New Jersey,USA,Milwaukee,3,177,2019,0.414,0.071,180,4.2
Greg Grant,6,Trenton,New Jersey,USA,Denver,5,274,3350,0.383,0.281,248,2.8
Al Harrington,16,Orange,New Jersey,USA,Washington,15,981,28009,0.444,0.352,5482,13.5
Roy Hinson,8,Trenton,New Jersey,USA,New Jersey,7,507,15543,0.499,0,3452,14.2
Dennis Horner,1,Linwood,New Jersey,USA,,0,8,22,0.25,0,5,0.6
Bobby Hurley,5,Jersey City,New Jersey,USA,Vancouver,4,269,4170,0.353,0.272,283,3.8
Horace Jenkins,1,Elizabeth,New Jersey,USA,Detroit,1,15,104,0.333,0,9,2.8
Dahntay Jones,12,Trenton,New Jersey,USA,Cleveland,13,623,9787,0.439,0.331,1080,5.4
Chad Kinch,1,Perth Amboy,New Jersey,USA,Dallas,0,41,353,0.369,,33,2.9
Brandin Knight,1,Livingston,New Jersey,USA,,0,1,3,0,,0,0
Brevin Knight,12,Livingston,New Jersey,USA,Utah,12,729,18176,0.412,0.134,1785,7.3
Bob Mccann,5,Morristown,New Jersey,USA,,4,178,2385,0.479,0.2,468,4.2
Forrest Mckenzie,1,Camden,New Jersey,USA,San Antonio,0,6,42,0.25,0.5,7,2.8
Roshown Mcleod,3,Jersey City,New Jersey,USA,,2,113,2130,0.409,0.111,308,7.2
Eric Murdock,9,Somerville,New Jersey,USA,,8,508,11882,0.438,0.343,1261,10.1
Troy Murphy,12,Morristown,New Jersey,USA,,11,729,19921,0.445,0.388,5708,10.8
Mike O'Koren,8,Jersey City,New Jersey,USA,New Jersey,7,407,8810,0.49,0.271,1391,8.2
Shaquille O'Neal,19,Newark,New Jersey,USA,Boston,18,1207,41918,0.582,0.045,13099,23.7
Tim Perry,8,Freehold,New Jersey,USA,,7,481,9436,0.485,0.318,1911,6.8
Kasib Powell,1,Teaneck,New Jersey,USA,Miami,1,11,304,0.368,0.242,44,7.6
Rodrick Rhodes,3,Jersey City,New Jersey,USA,,2,72,1234,0.347,0.2,88,5.3
David Rivers,3,Jersey City,New Jersey,USA,Los Angeles,2,114,1286,0.398,0.083,147,3.4
Dennis Rodman,14,Trenton,New Jersey,USA,,13,911,28839,0.521,0.231,11954,7.3
Lou Roe,2,Atlantic City,New Jersey,USA,Golden State,1,66,479,0.333,0.25,92,2
Brian Rowsom,3,Newark,New Jersey,USA,Charlotte,2,82,1092,0.455,0.667,273,5.6
James Scott,1,Paterson,New Jersey,,Miami,0,8,32,0,0,6,0.1
Chris Smith,1,Millstone Township,New Jersey,USA,,0,2,2,,,0,0
Jim Spanarkel,5,Jersey City,New Jersey,USA,Dallas,4,259,5290,0.47,0.25,652,9.7
Tyshawn Taylor,2,Hoboken,New Jersey,USA,,1,61,491,0.354,0.36,33,2.9
Tim Thomas,13,Paterson,New Jersey,USA,Dallas,13,824,21336,0.437,0.369,3379,11.5
Billy Thompson,6,Camden,New Jersey,USA,Golden State,5,300,6697,0.505,0.154,1615,8.6
Jason Thompson,8,Camden,New Jersey,USA,Toronto,8,588,14819,0.496,0.143,3880,8.9
Kelly Tripucka,10,Glen Ridge,New Jersey,USA,Charlotte,9,707,20959,0.473,0.361,2703,17.2
Dajuan Wagner,4,Camden,New Jersey,USA,,3,103,2202,0.366,0.321,142,9.4
Milt Wagner,2,Camden,New Jersey,USA,Miami,1,53,496,0.422,0.296,35,4.1
Darryl Watkins,2,Paterson,New Jersey,USA,New Orleans,2,14,169,0.414,,39,2.5
Clinton Wheeler,2,Neptune,New Jersey,USA,Portland,1,87,867,0.489,0,71,2.9
Eric Williams,12,Newark,New Jersey,USA,,11,658,15731,0.415,0.318,2139,8.6
Jay Williams,1,Plainfield,New Jersey,USA,Chicago,0,75,1961,0.399,0.322,195,9.5
Bill Willoughby,8,Englewood,New Jersey,USA,New Jersey,7,488,8647,0.47,0.27,1891,6
Garry Witts,1,Elizabeth,New Jersey,USA,Washington,0,46,493,0.583,0.5,62,2.9
Luther Wright,1,Jersey City,New Jersey,USA,Utah,0,15,92,0.348,0,10,1.3
Cedric Jackson,1,Alamogordo,New Mexico,USA,Washington,1,12,74,0.3,0.167,8,1.7
Damion James,4,Hobbs,New Mexico,USA,San Antonio,3,39,623,0.415,0,131,3.8
Alex Kirk,1,Los Alamos,New Mexico,USA,,0,5,14,0.25,,1,0.8
Matt Othick,1,Clovis,New Mexico,USA,San Antonio,0,4,39,0.6,0.5,2,2
Rudy White,5,Silver City,New Mexico,USA,Seattle,4,124,1185,0.408,0,120,3.1
Kareem Abdul-Jabbar,20,New York,New York,USA,Los Angeles,19,1560,57446,0.559,0.056,17440,24.6
Derrick Alston,3,Bronx,New York,USA,,2,139,2657,0.489,0.143,525,5.4
Rafer Alston,11,New York,New York,USA,Miami,10,671,19392,0.383,0.354,1891,10.1
Kenny Anderson,14,Queens,New York,USA,,13,858,25868,0.421,0.346,2641,12.6
Joe Arlauckas,1,Rochester,New York,USA,Sacramento,0,9,85,0.326,,13,3.8
